ID,Calories,Age,Duration,Heart_Rate,Body_Temp
242,79.0,50,13.0,101.0,40.4
243,113.0,63,15.0,102.0,40.3
244,143.0,30,22.0,109.0,40.5
245,16.0,33,4.0,84.0,38.7
246,137.0,38,24.0,100.0,40.5
247,71.0,20,17.0,97.0,40.5
248,72.0,67,13.0,94.0,40.2
249,76.0,24,14.0,103.0,40.1
250,187.0,30,27.0,109.0,40.5
251,109.0,35,18.0,103.0,40.2
252,204.0,63,29.0,111.0,40.5
253,29.0,50,6.0,91.0,39.4
254,91.0,33,17.0,98.0,40.5
255,16.0,36,4.0,84.0,39.0
256,36.0,75,7.0,84.0,39.1
257,80.0,56,13.0,97.0,39.9
258,151.0,50,22.0,111.0,40.6
259,195.0,24,27.0,116.0,40.6
260,26.0,32,8.0,80.0,39.5
261,138.0,49,22.0,99.0,40.5
262,15.0,77,3.0,89.0,39.0
263,120.0,67,19.0,97.0,40.5
264,197.0,23,30.0,112.0,41.0
265,114.0,37,21.0,98.0,40.7
266,127.0,35,20.0,107.0,40.6
267,112.0,34,23.0,97.0,40.8
268,116.0,49,21.0,98.0,40.4
269,35.0,69,8.0,83.0,39.4
270,110.0,49,16.0,103.0,40.4
271,117.0,41,22.0,95.0,40.2
272,115.0,42,17.0,105.0,40.2
273,157.0,52,21.0,107.0,40.6
274,54.0,26,12.0,91.0,40.0
275,163.0,79,25.0,104.0,40.5
276,156.0,72,19.0,107.0,40.5
277,42.0,34,10.0,91.0,39.9
278,35.0,60,7.0,89.0,39.8
279,34.0,45,7.0,91.0,39.3
280,99.0,33,19.0,98.0,40.4
281,161.0,56,20.0,109.0,40.5
282,38.0,21,8.0,94.0,39.8
283,104.0,50,18.0,99.0,40.5
284,200.0,60,27.0,105.0,41.0
285,183.0,39,28.0,108.0,40.7
286,140.0,48,19.0,110.0,40.7
287,100.0,38,19.0,97.0,40.5
288,178.0,54,22.0,110.0,40.3
289,150.0,23,27.0,104.0,41.0
290,83.0,72,15.0,94.0,40.2
291,12.0,47,6.0,74.0,39.3
292,49.0,58,8.0,103.0,39.9
293,147.0,41,25.0,101.0,40.8
294,44.0,62,8.0,90.0,39.4
295,179.0,30,29.0,107.0,40.9
296,161.0,32,23.0,113.0,40.5
297,20.0,20,9.0,84.0,39.4
298,127.0,53,21.0,102.0,40.5
299,247.0,51,30.0,112.0,41.0
300,173.0,78,23.0,100.0,40.8
301,3.0,31,1.0,74.0,37.6
302,32.0,74,6.0,83.0,39.0
303,140.0,50,22.0,106.0,40.9
304,34.0,40,8.0,88.0,40.0
305,30.0,41,8.0,88.0,39.7
306,64.0,26,13.0,94.0,40.3
307,152.0,25,27.0,104.0,40.8
308,91.0,31,15.0,105.0,39.9
309,9.0,20,4.0,83.0,38.8
310,20.0,55,5.0,84.0,39.3
311,156.0,52,25.0,103.0,40.7
312,223.0,60,26.0,110.0,40.6
313,83.0,36,16.0,97.0,40.0
314,51.0,53,11.0,89.0,40.0
315,52.0,36,10.0,97.0,40.0
316,170.0,23,25.0,114.0,40.9
317,7.0,36,2.0,79.0,37.9
318,149.0,37,25.0,103.0,40.7
319,181.0,48,27.0,105.0,40.6
320,201.0,39,27.0,118.0,41.1
321,23.0,21,7.0,88.0,39.6
322,109.0,20,23.0,100.0,40.3
323,30.0,57,8.0,84.0,39.7
324,84.0,77,15.0,94.0,40.5
325,128.0,34,19.0,109.0,40.4
326,137.0,52,23.0,97.0,40.7
327,216.0,70,28.0,103.0,40.8
328,68.0,64,12.0,95.0,40.1
329,129.0,73,18.0,97.0,40.7
330,50.0,47,11.0,88.0,39.8
331,19.0,39,5.0,84.0,39.2
332,30.0,25,7.0,89.0,39.4
333,197.0,22,27.0,119.0,40.4
334,24.0,67,4.0,95.0,38.7
335,70.0,64,13.0,94.0,40.2
336,54.0,37,12.0,91.0,40.1
337,88.0,21,19.0,100.0,40.5
338,24.0,40,7.0,83.0,39.5
339,121.0,36,19.0,108.0,40.1
340,57.0,53,11.0,95.0,39.9
341,126.0,41,22.0,98.0,40.5
342,24.0,56,5.0,89.0,39.5
343,41.0,29,11.0,84.0,40.0
344,28.0,28,7.0,92.0,39.5
345,34.0,22,10.0,90.0,39.7
346,161.0,76,23.0,96.0,40.5
347,20.0,73,4.0,86.0,38.9
348,119.0,39,23.0,97.0,40.6
349,63.0,69,11.0,95.0,39.6
350,58.0,46,12.0,93.0,40.1
351,215.0,30,30.0,115.0,40.6
352,96.0,35,17.0,101.0,40.1
353,160.0,60,24.0,107.0,41.0
354,154.0,35,25.0,104.0,41.0
355,11.0,26,5.0,81.0,39.1
356,122.0,21,23.0,104.0,40.5
357,124.0,27,22.0,101.0,40.4
358,113.0,47,21.0,97.0,40.6
359,9.0,27,3.0,80.0,38.9
360,208.0,49,29.0,108.0,40.7
361,101.0,27,19.0,102.0,41.0
362,66.0,46,14.0,91.0,40.0
363,100.0,58,14.0,102.0,40.1
364,65.0,27,13.0,101.0,39.9
365,47.0,29,13.0,91.0,39.8
366,8.0,39,3.0,78.0,38.6
367,17.0,56,4.0,84.0,38.7
368,101.0,32,21.0,97.0,40.4
369,18.0,43,5.0,80.0,39.0
370,131.0,21,21.0,108.0,40.5
371,58.0,76,10.0,97.0,39.8
372,87.0,22,15.0,104.0,40.0
373,152.0,35,24.0,104.0,40.6
374,193.0,45,28.0,105.0,41.0
375,51.0,32,10.0,99.0,39.7
376,157.0,39,25.0,105.0,40.7
377,165.0,44,27.0,105.0,40.8
378,22.0,26,6.0,84.0,39.4
379,91.0,42,17.0,98.0,40.1
380,9.0,24,2.0,93.0,38.2
381,74.0,56,14.0,91.0,40.0
382,26.0,71,5.0,85.0,39.1
383,57.0,37,11.0,99.0,39.9
384,37.0,47,10.0,81.0,39.9
385,217.0,48,29.0,112.0,40.9
386,47.0,52,11.0,87.0,40.0
387,139.0,40,24.0,99.0,40.4
388,19.0,66,4.0,88.0,38.9
389,80.0,37,16.0,94.0,40.2
390,74.0,28,17.0,94.0,40.4
391,54.0,59,10.0,93.0,39.7
392,154.0,24,28.0,105.0,40.8
393,140.0,67,26.0,93.0,40.7
394,52.0,33,10.0,97.0,39.8
395,79.0,34,15.0,97.0,40.1
396,94.0,40,17.0,99.0,40.4
397,202.0,22,28.0,116.0,41.0
398,238.0,66,27.0,114.0,40.7
399,117.0,42,19.0,103.0,40.2
400,26.0,42,7.0,83.0,39.5
401,184.0,64,23.0,106.0,40.7
402,169.0,32,28.0,105.0,40.5
403,2.0,24,1.0,78.0,37.7
404,162.0,26,27.0,107.0,41.0
405,62.0,32,13.0,92.0,40.2
406,150.0,51,21.0,105.0,40.4
407,183.0,40,27.0,110.0,41.1
408,138.0,34,25.0,101.0,40.9
409,99.0,48,15.0,103.0,40.0
410,128.0,21,23.0,100.0,40.6
411,54.0,31,12.0,91.0,40.3
412,127.0,76,18.0,95.0,40.3
413,11.0,20,5.0,84.0,38.9
414,66.0,22,18.0,94.0,40.7
415,49.0,44,11.0,91.0,39.5
416,42.0,49,10.0,85.0,39.5
417,37.0,49,7.0,95.0,39.5
418,12.0,46,3.0,84.0,38.6
419,243.0,75,29.0,107.0,41.1
420,14.0,20,5.0,76.0,39.3
421,171.0,33,28.0,105.0,40.6
422,241.0,68,28.0,112.0,40.8
423,125.0,58,20.0,104.0,40.6
424,171.0,23,26.0,112.0,40.6
425,52.0,79,9.0,87.0,39.7
426,187.0,43,28.0,103.0,40.7
427,141.0,37,24.0,104.0,40.8
428,314.0,75,28.0,123.0,40.5
429,159.0,61,26.0,102.0,40.8
430,30.0,26,9.0,80.0,40.2
431,176.0,23,28.0,110.0,40.9
432,211.0,64,25.0,111.0,40.8
433,29.0,20,8.0,85.0,39.4
434,99.0,22,21.0,95.0,40.1
435,190.0,27,27.0,116.0,41.1
436,22.0,36,7.0,83.0,39.5
437,247.0,59,30.0,110.0,41.0
438,17.0,36,5.0,84.0,39.0
439,37.0,71,8.0,86.0,39.7
440,117.0,21,21.0,103.0,40.4
441,52.0,56,10.0,91.0,39.7
442,7.0,68,2.0,75.0,37.9
443,68.0,75,10.0,98.0,39.7
444,74.0,48,17.0,89.0,40.4
445,154.0,62,24.0,97.0,40.6
446,165.0,53,26.0,104.0,40.7
447,96.0,47,17.0,97.0,39.9
448,77.0,39,13.0,101.0,39.8
449,86.0,54,17.0,92.0,40.3
450,129.0,38,21.0,101.0,40.6
451,151.0,39,26.0,100.0,40.4
452,197.0,51,28.0,106.0,40.9
453,77.0,30,13.0,104.0,40.3
454,22.0,33,5.0,90.0,39.1
455,161.0,47,27.0,100.0,40.7
456,192.0,64,25.0,114.0,40.8
457,37.0,37,8.0,90.0,39.2
458,135.0,41,20.0,106.0,40.5
459,55.0,61,11.0,90.0,40.0
460,29.0,38,10.0,84.0,39.8
461,52.0,21,12.0,97.0,39.9
462,2.0,26,1.0,69.0,37.9
463,106.0,48,21.0,94.0,40.6
464,28.0,71,6.0,84.0,39.0
465,189.0,73,22.0,107.0,40.9
466,190.0,65,26.0,111.0,41.0
467,66.0,57,13.0,91.0,39.9
468,135.0,49,22.0,99.0,40.5
469,23.0,55,4.0,97.0,38.7
470,17.0,20,12.0,80.0,39.9
471,21.0,45,5.0,84.0,38.9
472,60.0,53,13.0,90.0,40.2
473,51.0,46,10.0,93.0,39.6
474,15.0,25,5.0,85.0,39.1
475,29.0,22,9.0,92.0,40.0
476,190.0,60,27.0,110.0,40.8
477,51.0,50,11.0,89.0,40.1
478,95.0,61,17.0,95.0,40.5
479,216.0,69,29.0,112.0,40.9
480,165.0,30,30.0,101.0,41.0
481,122.0,33,20.0,105.0,40.6
482,69.0,21,15.0,96.0,40.1
483,113.0,39,20.0,99.0,40.9
484,26.0,26,7.0,92.0,39.5
485,22.0,44,5.0,91.0,39.2
486,70.0,58,12.0,96.0,40.1
487,9.0,24,4.0,83.0,39.3
488,72.0,35,15.0,95.0,40.3
489,165.0,21,25.0,111.0,40.6
490,165.0,26,29.0,105.0,41.0
491,64.0,30,15.0,88.0,40.3
492,103.0,27,18.0,105.0,40.5
493,15.0,32,4.0,83.0,39.1
494,32.0,30,9.0,85.0,39.6
495,68.0,79,14.0,85.0,40.0
496,159.0,39,25.0,106.0,40.6
497,23.0,25,6.0,92.0,39.6
498,54.0,23,13.0,90.0,40.1
499,9.0,47,2.0,89.0,37.8
500,240.0,34,29.0,120.0,40.7
501,42.0,36,10.0,86.0,39.7
502,117.0,63,14.0,106.0,40.0
503,164.0,37,26.0,106.0,40.6
504,132.0,50,23.0,98.0,40.8
505,9.0,62,2.0,85.0,38.2
506,74.0,37,15.0,94.0,40.0
507,116.0,35,23.0,96.0,40.7
508,42.0,27,8.0,102.0,39.7
509,187.0,55,24.0,110.0,40.6
510,70.0,36,16.0,94.0,40.4
511,29.0,22,7.0,86.0,39.1
512,17.0,20,9.0,83.0,39.8
513,195.0,43,28.0,108.0,40.9
514,127.0,73,19.0,106.0,40.4
515,39.0,22,14.0,87.0,39.9
516,28.0,67,6.0,88.0,38.9
517,68.0,25,16.0,93.0,40.3
518,91.0,41,17.0,97.0,40.5
519,89.0,49,16.0,97.0,40.2
520,10.0,58,2.0,89.0,37.7
521,185.0,27,28.0,111.0,41.2
522,16.0,33,5.0,79.0,38.7
523,97.0,59,19.0,91.0,40.3
524,44.0,21,13.0,92.0,40.2
525,56.0,65,10.0,95.0,40.0
526,112.0,22,21.0,103.0,40.4
527,37.0,55,10.0,81.0,39.8
528,24.0,22,9.0,86.0,39.8
529,216.0,35,30.0,112.0,40.5
530,106.0,58,15.0,101.0,40.1
531,57.0,45,14.0,85.0,39.9
532,119.0,62,18.0,97.0,40.3
533,96.0,74,16.0,97.0,40.1
534,33.0,48,7.0,88.0,39.5
535,106.0,23,23.0,100.0,40.7
536,156.0,31,25.0,106.0,41.0
537,75.0,53,14.0,92.0,40.4
538,130.0,73,18.0,99.0,40.6
539,142.0,27,21.0,113.0,40.5
540,121.0,40,22.0,99.0,40.5
541,143.0,66,24.0,99.0,40.7
542,123.0,46,20.0,105.0,40.7
543,186.0,75,26.0,108.0,41.1
544,53.0,33,13.0,94.0,40.3
545,170.0,49,27.0,104.0,40.8
546,78.0,37,15.0,97.0,40.2
547,182.0,43,26.0,113.0,40.5
548,55.0,66,11.0,92.0,40.0
549,150.0,51,25.0,101.0,40.6
550,21.0,33,6.0,80.0,39.9
551,26.0,48,6.0,90.0,39.0
552,90.0,43,18.0,93.0,40.5
553,91.0,48,16.0,99.0,40.7
554,79.0,34,17.0,95.0,40.3
555,195.0,61,29.0,107.0,41.1
556,57.0,48,10.0,101.0,39.9
557,96.0,30,18.0,98.0,40.5
558,39.0,79,7.0,93.0,39.7
559,18.0,67,4.0,85.0,38.6
560,17.0,60,4.0,85.0,39.3
561,82.0,57,15.0,97.0,40.3
562,110.0,34,19.0,101.0,40.5
563,161.0,42,25.0,106.0,40.8
564,164.0,38,25.0,107.0,40.8
565,15.0,43,5.0,81.0,39.5
566,85.0,76,12.0,96.0,40.2
567,128.0,37,23.0,101.0,40.6
568,59.0,23,14.0,94.0,40.2
569,6.0,21,2.0,84.0,37.9
570,82.0,20,18.0,92.0,40.2
571,148.0,23,25.0,105.0,40.5
572,8.0,20,3.0,76.0,38.2
573,53.0,25,14.0,86.0,40.3
574,85.0,24,16.0,98.0,40.2
575,120.0,29,22.0,99.0,40.9
576,205.0,43,28.0,107.0,40.7
577,13.0,26,4.0,80.0,39.1
578,192.0,76,28.0,107.0,40.6
579,18.0,43,4.0,91.0,38.7
580,44.0,73,7.0,92.0,39.3
581,172.0,42,26.0,103.0,41.3
582,158.0,23,27.0,105.0,40.4
583,11.0,22,6.0,82.0,39.5
584,108.0,28,25.0,96.0,40.9
585,112.0,20,23.0,96.0,40.5
586,66.0,36,14.0,92.0,39.7
587,36.0,26,10.0,88.0,39.7
588,19.0,59,4.0,89.0,38.7
589,49.0,22,10.0,94.0,39.5
590,149.0,50,26.0,100.0,40.6
591,4.0,22,2.0,81.0,38.6
592,206.0,52,28.0,115.0,40.6
593,111.0,31,23.0,94.0,40.9
594,226.0,68,28.0,105.0,41.1
595,56.0,48,11.0,94.0,39.3
596,30.0,31,7.0,92.0,39.7
597,67.0,23,15.0,91.0,40.2
598,111.0,24,22.0,102.0,40.7
599,199.0,58,27.0,107.0,40.7
600,85.0,32,15.0,102.0,40.3
601,6.0,21,2.0,77.0,38.1
602,219.0,63,28.0,105.0,40.9
603,162.0,77,21.0,102.0,39.9
604,190.0,49,25.0,110.0,40.5
605,190.0,26,30.0,108.0,40.7
606,40.0,53,9.0,87.0,39.5
607,40.0,31,9.0,92.0,40.1
608,8.0,32,3.0,75.0,38.5
609,31.0,35,8.0,85.0,39.8
610,130.0,66,21.0,100.0,40.7
611,32.0,40,7.0,89.0,39.9
612,139.0,62,22.0,97.0,40.6
613,12.0,24,3.0,88.0,38.5
614,55.0,37,11.0,96.0,39.5
615,48.0,49,9.0,95.0,39.4
616,160.0,32,24.0,107.0,40.4
617,67.0,46,13.0,94.0,39.9
618,178.0,59,25.0,105.0,41.2
619,79.0,42,17.0,91.0,40.4
620,32.0,44,9.0,85.0,39.6
621,140.0,74,22.0,103.0,40.4
622,86.0,68,14.0,92.0,40.3
623,97.0,58,16.0,97.0,40.3
624,217.0,32,28.0,117.0,40.7
625,88.0,34,21.0,91.0,40.6
626,127.0,23,21.0,106.0,40.3
627,32.0,52,7.0,88.0,39.2
628,19.0,28,5.0,85.0,39.1
629,121.0,47,20.0,103.0,40.7
630,40.0,24,12.0,92.0,39.8
631,48.0,73,9.0,91.0,39.8
632,195.0,76,25.0,100.0,40.4
633,52.0,65,10.0,91.0,39.9
634,8.0,29,4.0,81.0,39.1
635,136.0,20,26.0,104.0,40.8
636,20.0,33,6.0,86.0,39.1
637,11.0,33,3.0,83.0,38.7
638,144.0,34,26.0,103.0,40.7
639,59.0,43,13.0,89.0,40.1
640,53.0,47,10.0,97.0,39.8
641,38.0,65,8.0,90.0,39.2
642,152.0,22,29.0,99.0,40.8
643,34.0,28,8.0,94.0,39.4
644,12.0,30,3.0,87.0,38.7
645,1.0,20,1.0,76.0,37.8
646,197.0,32,28.0,110.0,40.9
647,124.0,56,20.0,103.0,40.0
648,120.0,67,15.0,106.0,40.3
649,48.0,62,9.0,88.0,39.7
650,86.0,33,17.0,97.0,40.4
651,185.0,46,25.0,108.0,40.3
652,49.0,79,8.0,90.0,39.6
653,49.0,57,11.0,85.0,40.0
654,48.0,49,11.0,87.0,39.9
655,81.0,41,14.0,100.0,40.3
656,137.0,38,19.0,112.0,40.3
657,115.0,28,24.0,98.0,40.6
658,93.0,31,19.0,98.0,40.6
659,34.0,48,8.0,87.0,39.5
660,170.0,41,26.0,106.0,40.6
661,38.0,71,6.0,92.0,39.1
662,139.0,30,26.0,99.0,40.7
663,86.0,30,18.0,94.0,40.5
664,174.0,29,26.0,111.0,40.9
665,14.0,34,5.0,82.0,39.1
666,197.0,42,29.0,108.0,40.6
667,107.0,51,17.0,105.0,40.4
668,106.0,35,19.0,100.0,40.5
669,11.0,28,3.0,85.0,38.6
670,25.0,33,6.0,90.0,39.0
671,120.0,22,23.0,98.0,40.5
672,151.0,64,22.0,102.0,40.5
673,91.0,57,18.0,91.0,40.1
674,95.0,42,18.0,95.0,40.5
675,119.0,24,23.0,101.0,40.8
676,10.0,49,3.0,82.0,38.4
677,96.0,32,19.0,99.0,40.2
678,92.0,78,13.0,98.0,40.1
679,159.0,53,24.0,107.0,40.7
680,169.0,68,21.0,105.0,40.4
681,93.0,47,15.0,98.0,40.2
682,83.0,51,15.0,96.0,40.6
683,116.0,64,22.0,92.0,40.6
684,75.0,51,17.0,87.0,40.1
685,137.0,23,26.0,98.0,40.8
686,79.0,42,15.0,94.0,40.5
687,23.0,23,8.0,88.0,39.4
688,19.0,70,4.0,83.0,39.1
689,52.0,53,11.0,88.0,40.0
690,76.0,28,16.0,98.0,40.1
691,47.0,48,10.0,92.0,40.0
692,124.0,43,22.0,99.0,40.6
693,28.0,21,7.0,89.0,39.8
694,127.0,26,22.0,104.0,40.6
695,101.0,53,19.0,95.0,40.0
696,150.0,32,26.0,103.0,40.9
